N,Optimal/Feasible,Time,Risk,Marginal
1,Optimal,0.00,0
2,Optimal,0.03,0,=D3 - D2
3,Optimal,0.11,0,=D4 - D3
4,Optimal,0.06,0,=D5 - D4
5,Optimal,0.09,0,=D6 - D5
6,Optimal,0.08,0,=D7 - D6
7,Optimal,0.03,0,=D8 - D7
8,Optimal,0.03,0,=D9 - D8
9,Optimal,0.06,0,=D10 - D9
10,Optimal,0.02,0,=D11 - D10
11,Optimal,0.09,0,=D12 - D11
12,Optimal,0.03,0,=D13 - D12
13,Optimal,0.11,0,=D14 - D13
14,Optimal,0.09,0,=D15 - D14
15,Optimal,0.09,0,=D16 - D15
16,Optimal,0.03,0,=D17 - D16
17,Optimal,0.09,0,=D18 - D17
18,Optimal,0.05,0,=D19 - D18
19,Optimal,0.03,0,=D20 - D19
20,Optimal,0.03,0,=D21 - D20
21,Optimal,0.03,0,=D22 - D21
22,Optimal,0.05,0,=D23 - D22
23,Optimal,0.03,0,=D24 - D23
24,Optimal,0.11,0,=D25 - D24
25,Optimal,0.08,0,=D26 - D25
26,Optimal,0.05,0,=D27 - D26
27,Optimal,0.08,0,=D28 - D27
28,Optimal,0.14,0,=D29 - D28
29,Optimal,0.06,0,=D30 - D29
30,Optimal,0.13,0,=D31 - D30
31,Optimal,0.03,0,=D32 - D31
32,Optimal,0.13,0,=D33 - D32
33,Optimal,0.13,0,=D34 - D33
34,Optimal,0.13,0,=D35 - D34
35,Optimal,0.11,0,=D36 - D35
36,Optimal,0.13,0,=D37 - D36
37,Optimal,0.19,0,=D38 - D37
38,Optimal,5.70,180,=D39 - D38
39,Optimal,289.08,360,=D40 - D39
40,Optimal,226.14,540,=D41 - D40
41,Optimal,99.91,720,=D42 - D41
42,Optimal,109.03,900,=D43 - D42
43,Optimal,175.97,1080,=D44 - D43
44,Optimal,60.25,1260,=D45 - D44
45,Optimal,104.03,1440,=D46 - D45
46,Optimal,52.02,1620,=D47 - D46
47,Optimal,169.45,1800,=D48 - D47
48,Optimal,58.75,1980,=D49 - D48
49,Optimal,61.92,2160,=D50 - D49
50,Optimal,65.81,2340,=D51 - D50
51,Optimal,9.00,2520,=D52 - D51
52,Optimal,29.83,2700,=D53 - D52
53,Optimal,24.05,2880,=D54 - D53
